cluster_id,text,post_id,num_posts
post_cluster_154,Taking my behind the wheel driving test tomorrow!,"['8cl6e5', 'dyfaed', '8lxieb', '7ou4jh', '5yizdo', 'ec5j6b', '6yc591', '9jnorp', '6zy8yn', 'ce2cnw', 'f8bv92', '5xp981', '7855rw', 'f8w8p1', 'hit:3120_conv:6240_uttr:1', 'h9co0z']",16
post_cluster_155,Time goes by so fast,"['77hr0v', 'o5clvz', 'epauh6', 'ionlqm', 'hit:11539_conv:23079_uttr:1', 'i100ef', '9sv0ux', '9nhoid', 'bl1eqs', '90qbk8', 'jioz23', '6skzw4', 'p9sdsl', '9ntirg', 'nuc5e9', '7ncaro']",16
post_cluster_156,What's bothering you right now?,"['6qvttz', '5x7fag', 'cy6aa8', '6xto35', 'bjapc9', '8ggpy3', '5ld63x', 'gn5ccv', '7tq8cm', '6kbv7k', '9n9ohm', '6kibsc', '9bowvi', '6tl8vi', '696hqk', '77ufcu']",16
post_cluster_157,Im going to my first concert this weekend.,"['hit:90_conv:181_uttr:1', 'hit:9275_conv:18551_uttr:1', '8yvtrn', '7h70nc', '5uvu3h', 'beeqqv', 'nc0szw', 'hit:6716_conv:13432_uttr:1', 'hit:8053_conv:16106_uttr:1', 'hit:3630_conv:7261_uttr:1', 'hit:9540_conv:19080_uttr:1', '6w6dv9', 'aoyxs3', '83sntb', '7azyt6', 'hit:8737_conv:17474_uttr:1']",16
post_cluster_158,I miss being a kid.,"['hit:3123_conv:6247_uttr:1', 'hit:5154_conv:10308_uttr:1', 'g6iajv', '5w9u79', 'hit:2954_conv:5909_uttr:1', 'frqyij', 'bjzlls', 'hit:8559_conv:17119_uttr:1', 'ps8s6l', 'hit:9727_conv:19454_uttr:1', 'db2nox', '7wb7pr', 'g4jkkk', 'hit:6310_conv:12621_uttr:1', 'f6bo3j', '9kkfii']",16
post_cluster_159,"I just bought a brand new car,","['hit:12203_conv:24407_uttr:1', 'pzzn9w', 'hit:11525_conv:23050_uttr:1', '62dyzk', '6gkjnb', 'ahi7hi', 'gpwr93', '7vno02', 'ahtgug', '7prz56', 'qh7dnn', 'gkpid8', 'juybg3', '7p5p0d', 'hit:9421_conv:18842_uttr:1', 'hit:11275_conv:22551_uttr:1']",16
post_cluster_160,Any advice would be appreciated.,"['oj3ahs', 'gib2q5', 'o9yuve', '92er6x', 'cv9su0', 'ddm65r', 'fv1323', 'eymnlr', 'qy67kc', 'd49d10', 'khdsy9', 'e65t43', 'axnueo', 'bsnraf', '7on58g']",15
post_cluster_161,I cleaned my room today.,"['l6g071', 'dhbrv5', 'cvgll3', 'b2mlid', '7h2ko9', 'f707ng', '7vgpsn', 'f9tr4d', '9w36gk', 'fsa30a', 'fdr4mp', 'ffq8kl', 'f0pw98', 'on8m5h', 'cxann5']",15
post_cluster_162,I love my girlfriend,"['kesdgr', 'ktwund', '6dmyd7', 'f9p6vm', 'eoz7cv', '8u44hu', 'cma0e3', 'dd2i31', 'f7yibn', 'hit:10318_conv:20636_uttr:1', 'czurnf', 'gdb5fa', '6rddpb', 'bvskpe', 'eb039s']",15
post_cluster_163,I miss my Pet.,"['jwboqr', 'ed5r1d', 'bxwru7', 'hit:5582_conv:11164_uttr:1', 'a08k2y', 'endhpf', 'cjlsfi', 'd363st', 'hit:972_conv:1945_uttr:1', 'fjnz9c', 'qy0ksy', 'g0jkvx', '7czmre', 'hit:7968_conv:15937_uttr:1', 'ft4196']",15
post_cluster_164,How do you deal with anxiety?,"['j6m2la', 'aim54v', '91k8pr', 'ow90fh', '7ikhj2', 'pnhmgw', 'cg1zqi', '9jood7', '63t3vj', '9cwiww', '8vv9ic', 'qk4pp2', 'exmd6i', 'k334cp', 'j7mgws']",15
post_cluster_165,It feels great.,"['i35rn1', '6l66ho', 'dd6q2f', '7f4xxu', '7evlgn', 'f8yq37', '5toia0', 'idjor0', '7tgfzu', 'or873r', 'hit:12123_conv:24246_uttr:1', 'nu2coa', '7wsb6s', '8o8tpq', 'f2zf30']",15
post_cluster_166,Help me please,"['fcwhsw', 'g3eceb', '6g9a6v', 'bad1ja', 'ecaw9d', '62s6wq', 'd4jb8b', 'hmkmvq', 'cyyy8u', '7445m4', '5rnxim', '9v9qqi', '9q5xeq', '9plnsp', 'f52dd0']",15
post_cluster_167,I just wanted to tell someone.,"['g1mli6', '8v832l', 'f60a52', 'f1uid0', '6szbzq', 'czw7hn', 'hymcld', 'dp1xcm', '7lclui', '8zfqof', 'aag5hr', 'mxfhmp', 'dl31ee', '7m1j56', 'du77dj']",15
post_cluster_168,My friends threw a surprise birthday party for me!,"['eb9t0h', 'hit:6316_conv:12633_uttr:1', 'hit:6455_conv:12911_uttr:1', 'hit:1645_conv:3291_uttr:1', 'hit:5631_conv:11262_uttr:1', 'hit:4407_conv:8814_uttr:1', 'hit:956_conv:1912_uttr:1', 'hit:8654_conv:17308_uttr:1', 'k905pj', 'hit:8619_conv:17238_uttr:1', 'd7szq1', 'hit:5155_conv:10311_uttr:1', 'hit:3158_conv:6316_uttr:1', 'hit:7788_conv:15576_uttr:1', 'hit:5846_conv:11692_uttr:1']",15
post_cluster_169,What's going on in your life?,"['cendf5', 'd7ouuv', '7g6rzu', 'aavg7p', '7g26tz', '7s3ihp', 'cm63dp', '80dutp', '7rabv7', '8skwrr', '93f43a', '8c3e5h', '91afmm', 'a8r326', '8epe3r']",15
post_cluster_170,I just paid off one of my 24 student loans,"['ac1nsq', 'alhpdl', 'edcloh', 'kgb5ej', 'cpb91p', '6vfcee', 'dc89a4', 'kilux6', 'hojyx3', 'feqx1s', 'n110js', '87rjw9', 'fbra9j', 'dt917u', 'j05085']",15
post_cluster_171,I love my friends so much,"['9izdlj', 'idrfgp', 'cv5q47', 'jwgqu7', 'eawwgo', 'eqm84g', 'lnuwtx', 'er2vci', '77q20d', 'iszjjn', 'fb2sos', '87fcnh', 'bowfye', '7e1av5', '9aajvi']",15
post_cluster_172,How do I make friends in college,"['99fb98', '72awdc', '6vgtvs', '6yp0jm', '89vq8k', 'euhtqi', '8bo66n', '9f5ffp', 'nzt4zb', '74y89h', 'f5xvy9', '7s4r57', '7ij38j', '69p812', 'epbcg9']",15
post_cluster_173,Do you guys believe in ghosts?,"['6pf94i', '7j6270', '8j5sud', '64cixd', 'ksp10c', '8umbej', 'ceobrq', '6fqw70', '6t0isn', 'eod2y0', '84h8iu', 'hle5vw', '8b2lfs', '6pefth', '7vpqwy']",15
post_cluster_174,I just found out I am pregnant!,"['hit:2028_conv:4056_uttr:1', '8fjqab', 'hy5qd8', 'ej56wi', 'exmg2r', 'cyfrty', 'hit:3640_conv:7280_uttr:1', 'e47ffd', 'emwr1d', 'hit:5446_conv:10892_uttr:1', 'cc3wor', 'hit:6790_conv:13580_uttr:1', 'ijj698', 'ckht17', 'fc464m']",15
post_cluster_175,I just purchased my first home.,"['hit:2807_conv:5614_uttr:1', 'k46z8o', '92i12g', 'g97twu', 'bjn7av', 'gndwh0', 'ep58a5', 'he06mo', 'jrabaj', 'evmvr0', 'jc0xop', 'cyzxms', 'k0dkzw', 'hit:10897_conv:21795_uttr:1', '7q9b8j']",15
post_cluster_176,My nephew said his first word today!,"['hit:5607_conv:11214_uttr:1', 'hit:9991_conv:19982_uttr:1', 'hit:8648_conv:17297_uttr:1', 'hit:8651_conv:17302_uttr:1', 'hit:8644_conv:17288_uttr:1', 'hit:8658_conv:17316_uttr:1', 'hit:9989_conv:19978_uttr:1', 'hit:9212_conv:18424_uttr:1', 'hit:8664_conv:17328_uttr:1', 'hit:8041_conv:16083_uttr:1', 'hit:8035_conv:16070_uttr:1', 'hit:8019_conv:16038_uttr:1', 'hit:4400_conv:8800_uttr:1', 'hit:3305_conv:6610_uttr:1', 'hit:11612_conv:23225_uttr:1']",15
post_cluster_177,My boyfriend recently proposed!,"['hit:12182_conv:24364_uttr:1', 'hit:11251_conv:22502_uttr:1', 'ga41wv', 'e276uk', 'jsdwyt', 'egjyd2', 'iw14a3', 'e5ty1s', 'finuwv', 'iq58hm', '8b3d02', 'jpfdrq', 'cxtl2b', 'cc33xa', 'a3khz8']",15
post_cluster_178,I love my boyfriend so much,"['m1kio8', '8xs87r', 'edwxim', 'gfk947', '9k3xqs', '9rvzz1', 'iw9h0k', 'anpnip', 'fivyco', 'gtkjwo', 'j9m8xv', 'bijjtm', 'odyqmt', 'f98wzq']",14
post_cluster_179,I’m getting my first kitten tomorrow!,"['jvva9f', 'ama0rf', '7pzaq0', 'am69yq', 'd4i9cx', '7kep94', 'cng7iu', '8f5rjh', '8yt0lp', 'ieyxum', 'h0tzrg', 'hymlel', 'irx9eq', 'gp8zbg']",14
post_cluster_180,How are you ACTUALLY feeling?,"['gd6rdi', 'e6dxxg', '6hr3m8', '7dga0l', 'gru96d', '6ps8bt', '5w4v54', '8whm9s', '8uh09a', 'f9gyc2', '64hl2u', 'fuuw4q', 'fvwqm1', '7mw045']",14
post_cluster_181,Is anyone going through something similar?,"['fj1qp9', '8ladbe', '7bidjp', '96jw77', 'diuvom', 'a0ffu3', 'e8qfvt', '7ny8wt', '7zya00', '67x72u', '8q57jn', 'jlsqmo', 'lo4k5u', 'p6le7p']",14
post_cluster_182,How's your New Years Resolution going?,"['exah3u', 'lafoyp', '7ugkb7', 'az0vjs', '5raqvr', 'bisec1', '5o22q8', 'eiggkd', 'a9pwze', 'obrzvl', '81nm8b', '7n3mcm', '7lbx04', '7o7w8e']",14
post_cluster_183,Anybody else spending New Years alone?,"['eicfll', 'ab7lj0', 'abczn3', 'efc3vv', 'kjifum', '7n9jvs', 'a944yq', 'ef31dc', 'e2pftg', '9zeds1', 'abbt3t', 'e31ms7', 'abadvk', 'knvzve']",14
post_cluster_184,I got into my first car accident today,"['df5bxj', 'azfns2', '60l1by', 'bht32e', '80hwy6', 'ca5st5', 'ebwspm', '7g83om', 'p2ii7g', 'derplg', '6me9un', 'ax9nk9', 'dmzg5v', 'c6szdp']",14
post_cluster_185,Lets just talk about whats on your mind.,"['c8n19d', '8vx3bf', '7yjexq', '9bkxuj', '8tnksk', '8qnvjt', '93vu57', '9xpx1q', '7uvnca', '6b0wg5', 'ja457j', 'dn2o9r', '7jw16q', 'gd41yl']",14
post_cluster_186,Anyone got any Sunday plans?,"['bd1v6c', 'e9vyl7', '7zs6fb', '6dl20e', '90hghd', '90fd0i', '6cgtpx', '5upuvi', '7uiwaz', '64u0nm', '8c8ryc', '6ujgmt', '6rkvrn', '9hlfot']",14
post_cluster_187,Life is going great for me right now.,"['a0kswk', 'cbqvuh', 'hit:8204_conv:16408_uttr:1', 'hit:8577_conv:17155_uttr:1', 'onhkwl', 'hit:11726_conv:23452_uttr:1', 'hit:8942_conv:17884_uttr:1', 'a23az2', 'hit:6904_conv:13809_uttr:1', '8ht8hl', 'hit:3946_conv:7892_uttr:1', 'fl6j1d', 'dx9mn1', 'd2tthx']",14
post_cluster_188,I’m really proud of myself.,"['97g7l9', 'evwlfi', '9s3bv5', 'ddj4ro', '7qswyf', 'kqjoc6', 'gupwyr', 'nsy124', 'icup9j', 'emcni2', 'chiahx', 'g6fa5o', 'aan3di', 'd8zq07']",14
post_cluster_189,I finally feel happy.,"['7zrfr9', '7i0o7v', 'iwqthk', 'k9lp8m', 'noxg1z', 'gkqs4u', 'aixp0l', 'o6qg3y', 'acrrhb', 'cxlyeq', 'bzcav4', '8npx2f', 'd8bnmu', 'jut33f']",14
post_cluster_190,Just turned 17 today!,"['7ufekr', 'd03heb', '77mo1u', '6yqaf8', 'f6191q', 'nrkbeu', '7a7ck8', 'hi5r05', '6ttrl2', '73p76q', 'idsa3y', '7c3olp', '9bqdki', 'o7f8oa']",14
post_cluster_191,What helps you to stay positive?,"['7u561o', 'jswxip', '8e04b1', 'a3v6wl', '9xwj30', 'ikjm45', 'fev6h5', 'ft02l2', '8vz0wb', '5p6r9p', 'bwqi40', '8olq5t', 'idgz1g', '9vtuvy']",14
post_cluster_192,Let's just talk?,"['7o7048', '6r9i1e', '7let7a', 'gwaxnl', 'n12q86', '7y9ddj', '70dd6i', '6w34su', '7obk93', 'akjr4k', '7stp1d', '781dxs', 'f43let', '6a3gnx']",14
post_cluster_193,Going to a concert alone,"['78wrcc', '6z5twl', 'd7yhpr', 'craa9g', 'bs4a5f', '6bzdnz', 'b6w8vx', '6jsyiq', 'dnpvhc', '84t08q', '8djhrq', '841eyx', 'cygp0a', '8rt6o6']",14
post_cluster_194,Talk to me about anything please,"['77z8ka', '71icgi', '6udpdt', '95xf2l', '5liyku', '87czp4', '75uh7d', '87rjd0', '6ha7h0', '954vbb', '68y1so', '6qg6bj', '8pyfyt', '7mmlie']",14
post_cluster_195,Tell a recent weird dream.,"['6eszrw', 'coe4ch', '6jqqbq', '7s2saw', 'i7uwe3', '5u5s8v', '6r1y5j', 'cz1mqi', '7mr8ol', 'f8c83v', '94fdit', 'lg68e4', '9r5btm', '8yt5pu']",14
post_cluster_196,I love my wife.,"['p7smtd', 'gh8g1e', 'hit:8732_conv:17464_uttr:1', 'gh8wit', 'f5jvg5', 'hit:11778_conv:23556_uttr:1', 'hit:11704_conv:23409_uttr:1', 'hit:3295_conv:6591_uttr:1', 'hit:12414_conv:24829_uttr:1', 'hit:1698_conv:3396_uttr:1', '9xyyxd', 'hit:8598_conv:17196_uttr:1', 'hit:955_conv:1910_uttr:1']",13
post_cluster_197,I’m bored,"['jgt0yy', 'e07qid', 'elyot5', 'hro8cw', '7fndi5', 'a98h9l', 'ppgd4z', 'mv4n97', 'kspv5i', 'ct1okt', '7lfc9b', 'fh4ehi', 'fmwl07']",13
post_cluster_198,How’s everyone’s quarantine going?,"['fzmm6d', 'g14hfu', 'fpn53l', 'g998md', 'hncmz5', 'fo9ih9', 'fu0a6n', 'gp0lym', 'k95klv', 'fnjaxo', 'gnc2oj', 'fxasj4', 'get15g']",13
post_cluster_199,I went for a run today.,"['f8szug', 'ib1l12', 'mmkc76', 'dazzov', 'a2iiib', 'e19uzs', 'fpph18', 'igo9nk', 'cpmawa', 'ayux7a', 'hit:4992_conv:9984_uttr:1', 'dty19m', '70shjl']",13
post_cluster_200,I hate the Christmas holidays,"['ef4b4u', 'ei6cif', 'kbz5tl', 'a430su', 'e61ef4', 'eg5jjt', 'a7msf7', 'ef7j0z', 'a97kga', 'a9l4pv', 'a6vfgt', 'efu3hp', '7i6uyz']",13
post_cluster_201,How would you handle this?,"['cvvzlq', 'az7mdd', 'dun0xl', '8nw70u', 'f76x5d', 'bhnq9a', 'qxag8t', 'bqzt4h', '6uvztu', '8o1epd', 'd3s7rc', '65h76t', '8yoyht']",13
post_cluster_202,So I got ghosted for the first time yesterday.,"['a4n2es', 'c4u78k', 'kchf0x', 'bdgtyq', '7fzvq4', 'h9don0', '5nuini', 'pcw7a2', 'cmd6yy', 'dxf58f', '7hmec5', '7xs3s4', 'a3ve5p']",13
post_cluster_203,What do I want for Christmas?,"['a4dmg1', 'kd7je2', 'a045v8', '7kapt6', '7e8eg9', '7fvfl4', 'a4szd9', '7ksefr', '9unqbn', '6effy2', '6p896a', 'g06au8', 'efajrv']",13
post_cluster_204,I HATE the summer,"['91w98p', '997ezs', 'nvq3ed', 'iwk1ur', '8oo6o2', 'hd66sh', '8oo99q', 'ocjyms', '8vuiy8', '8lf4lz', '7qzhjj', '8mvlnq', '6rtdgs']",13
post_cluster_205,life really sucks.,"['91yljc', '688gwv', '88kahz', '8gwusn', 'f6f95h', 'f022km', '6z07p2', '6vybe9', '7e7f2k', '6r5k2b', '6w3m89', 'hlokqz', 'o4yrpy']",13
post_cluster_206,Could you recommend me a hobby I would enjoy?,"['7tckjv', 'gta9x9', 'iemmal', '6ust5y', '6y1jkm', '7wx1a4', '7l52ss', '63262x', 'gpui2m', 'ab16eh', 'qnteo0', 'csbdq8', 'g0r5tx']",13
post_cluster_207,Tell me what to draw!,"['4vkgnz', '6q9k94', '5uuwv9', 'qd99f5', 'avu3v3', 'hij58f', 'f9ci34', '6iogts', '8knze0', 'qncx5h', '6zgxou', '6fbhnj', '6zase2']",13
post_cluster_208,Tell me something good,"['8vfju3', '5nnd6p', '769n0f', '5znkgl', 'qkimqd', 'fdxslt', '8sepbt', '773uub', '6ukom0', 'gnagda', 'b1zsbz', 'fmgppr']",12
post_cluster_209,i got scammed today,"['kmdpob', 'kge3h3', 'p6rmtw', '6vddw2', 'i9qqt4', 'bc50dy', 'c67w3w', 'ia26yq', 'hit:6023_conv:12047_uttr:1', 'ifeshn', 'k9dlez', 'm197ix']",12
post_cluster_210,I lost my wallet last week.,"['npmpvc', 'hit:10135_conv:20271_uttr:1', 'dwhqk7', 'gtgb0w', 'hit:9820_conv:19640_uttr:1', 'g7zxn4', 'hit:6321_conv:12642_uttr:1', 'dkloh4', 'hit:3325_conv:6650_uttr:1', '89e9uv', '7z3fdr', '7kcdpo']",12
post_cluster_211,Just went through my first breakup.,"['jczl00', 'ikziam', '9ua27p', 'cv96l3', 'kkywae', '7s2yil', 'hs32xl', 'a1zckh', 'e2o1xf', '5v8xsh', '8e062j', 'f6666h']",12
post_cluster_212,A girl called me cute yesterday,"['jcu3u8', 'h8g4ph', 'g4lldk', 'fukpgy', 'do7j73', '9sndx2', '9dqok2', 'l1l2ih', 'j4ub9a', '6se4nh', '9ku04k', 'dk7qta']",12
post_cluster_213,I don’t know what to do with my life,"['igs8dp', '79eny5', '9aebdd', '9f44cr', '7c4r2x', 'fg9qg6', 'fce4ia', '8cc7xh', 'a9s88t', '8hionm', 'b1c8qp', 'fphwk5']",12
post_cluster_214,I just want to get this off my chest,"['7lg9j3', 'his8tc', 'frt0y0', 'gbs7kc', 'k1s11g', 'gnjqmv', 'gkeyco', '6vrhmd', 'a9up91', 'f9ydxy', '6ue2jg', '76rp8e']",12
post_cluster_215,What song is currently stuck in your head?,"['6ktmgw', 'gote43', '5ughii', 'eigmjw', '5ormvy', '71uz8z', '7t8mbx', '77eci5', 'qs89oo', '72xtvm', 'i4ejfq', '5vn7pl']",12
post_cluster_216,I'm finally moving out!!!,"['g973tq', 'a86jqg', '689e1q', '9j76qc', '6tk60r', 'e7oy1t', '5u28yo', '8693do', '8wcyf8', 'ikz32w', '944vym', 'cp2zk8']",12
post_cluster_217,I wanna talk about anything and everything.,"['g6i87w', 'c6a3uc', '7ocd4f', '6y4ko0', 'qin9m4', '7681ma', 'i32muj', 'r2dx3q', 'inb787', 'nhnwfh', 'd4min7', 'ikfvyh']",12
post_cluster_218,Tell me some good news you received recently.,"['g2v3xk', '7pd9fz', 'b366eb', 'a6cudy', '5ntsdf', '6qkybh', '6ltbto', 'juesoz', 'd5uz2v', '8fjufb', '64p8zb', 'mgz7u4']",12
post_cluster_219,Anyone else having trouble falling asleep?,"['g28pzx', '5lkbav', '9um21l', '6dsl2b', '67ev50', '89ma3m', '677ewm', 'eqcxzm', '72xxi4', 'cto8z8', 'd0bs0z', '93187m']",12
post_cluster_220,I bought a homeless man some food today,"['f5zkor', 'bi5xe7', 'awbonq', '827phj', 'e5lecc', 'as7j1a', '5xrzp6', '8g3x40', 'cm39cx', 'jignn4', 'f7ep0g', 'daokds']",12
post_cluster_221,I just got my first legitimate silver award!,"['ex6qgm', 'b2q4f5', 'g26njs', 'fj2ngi', 'iojun9', 'iodwcd', '948h4p', 'ih8yew', 'hgqvg2', 'f4ejyr', 'cvktp5', 'ezybqg']",12
post_cluster_222,Stepping out of my comfort zone,"['e2f181', 'avwjxq', '93334a', '6kn97q', 'et3845', 'd0jj0r', 'k3rcvj', 'b2s4h0', 'j0er57', '6dro64', 'a88s6j', '87cw3q']",12
post_cluster_223,I failed an exam,"['ck730z', 'dfh812', 'bmstkx', 'a50gqj', 'nn06xd', '99mmek', 'a5ibhv', 'hit:930_conv:1860_uttr:1', 'a44b34', 'pq4be6', 'cs544y', '8dimsw']",12
post_cluster_224,I got a new phone today!,"['ch5sl1', 'h0kdcc', 'imtamu', 'etyt04', '6bam9h', 'hqh2rx', '9xbwg2', 'f1fh3i', 'g2fdk3', 'g2t1sr', 'd7jkjy', '6sfab7']",12
post_cluster_225,My cat has gone missing,"['bpw8ur', 'ahtiqy', 'comvh6', '8yzc5y', '6whdj4', '9lscq9', '9odxva', 'a7bj7i', 'gv0liu', 'o9nocf', 'hit:2297_conv:4594_uttr:1', 'nfszeq']",12
post_cluster_226,What’s up?,"['75swne', '7dkyp9', 'b7uncs', '77ju77', '99uvyn', '9npkqh', '6gguoh', '6sxnbp', 'byyjul', 'elfl4g', '6twpbj', '9jnwnc']",12
post_cluster_227,Having an existential crisis,"['avcl2h', 'fdca1j', 'qyc4ua', 'h8vhs5', '99kqtp', 'f64t1b', 'appqva', '8t37jr', '8qufq4', '9nht0f', '7dil5i', 'ceqav7']",12
post_cluster_228,Please distract me!,"['97czxs', '72a8lb', '7p248x', 'deyuej', 'nq5ak9', '9ed07j', '6fv6z9', '6q8m03', 'a04cc1', 'f5wzy6', 'bgxdlu', 'n1lk0e']",12
post_cluster_229,I feel sad.,"['97cp8s', '84alyp', 'gts9u6', '7x66ei', 'c2duka', 'ljh2py', 'ey0reo', 'hit:702_conv:1405_uttr:1', 'fvv70y', 'fadiqj', 'hd60xa', 'cnb1wl']",12
post_cluster_230,I'm freaking out.,"['8vv7i8', '7ksyia', '7334xf', 'c5hibt', '9ud4m3', 'jljcod', 'bia2c4', '82oea8', 'j6krjr', '8h42xf', '86xd3f', 'qjpu9v']",12
post_cluster_231,I think I'm in love,"['8oyn6b', 'eu11e7', 'ftyrvg', '7wbse5', '6tc4ts', '6gg41z', 'clnu25', '7g1sy5', 'ddi15p', 'f7kekx', '75yci8', '8kv9q8']",12
post_cluster_232,I finally finished my book,"['8oc3ly', 'adliv7', '6zzrzu', '8q74aa', 'e3ld4d', '5tmagv', 'fcp2ww', 'ccmtgb', 'jxwprr', 'l7iq8i', 'fx2eob', 'aq1x9j']",12
post_cluster_233,How do you find new music?,"['7qqkz0', '77vvl1', 'axb9un', '7nybv0', '8prxzp', '5wtp94', '9774vi', 'liayzm', 'flls0e', 'p5187u', 'd1ty8m', '862qoy']",12
post_cluster_234,School started again today,"['6syhe4', '8oyniv', '6zydnu', '96t9i8', '6y1xyu', 'cshalc', 'hit:1463_conv:2926_uttr:1', 'hit:2193_conv:4386_uttr:1', 'cl49pq', 'hit:11524_conv:23049_uttr:1', 'hit:1247_conv:2494_uttr:1', 'hit:2842_conv:5685_uttr:1']",12
post_cluster_235,I made an amazing pizza last night.,"['hit:5733_conv:11467_uttr:1', 'hit:5774_conv:11548_uttr:1', 'hit:5775_conv:11550_uttr:1', 'hit:7580_conv:15161_uttr:1', 'hit:7586_conv:15172_uttr:1', 'hit:7619_conv:15239_uttr:1', 'hit:7614_conv:15228_uttr:1', 'hit:7145_conv:14291_uttr:1', 'hit:6479_conv:12958_uttr:1', 'hit:6495_conv:12991_uttr:1', 'eyx75x', 'hit:5751_conv:11503_uttr:1']",12
post_cluster_236,im going on vacation soon!,"['hit:11496_conv:22992_uttr:1', 'hit:4868_conv:9736_uttr:1', 'hit:2087_conv:4175_uttr:1', 'hit:3550_conv:7101_uttr:1', 'hit:3696_conv:7392_uttr:1', 'hit:5849_conv:11698_uttr:1', 'hit:5579_conv:11159_uttr:1', 'hit:5333_conv:10667_uttr:1', 'hit:2806_conv:5613_uttr:1', '80nfuj', 'hit:7060_conv:14120_uttr:1', 'hit:2312_conv:4624_uttr:1']",12
post_cluster_237,What are you going to do for Halloween?,"['qdfy99', 'dpcx4a', 'qj0joe', '9kqvfi', '79dj0o', 'dpv67z', '79n4qy', '756gbi', '77en2t', '74i6v0', '769px4']",11
post_cluster_238,What do you eat for breakfast?,"['b34e2j', '94uknm', 'prljqb', '7x9xxb', 'm537es', '75pdqs', 'gt792w', '7qc76y', 'ho2bv7', 'djnml5', 'hluyex']",11
post_cluster_239,Care for a chat?,"['pca8mg', 'cu36jt', 'pz1876', 'kkf0oo', '7d0qbg', '7a3gb4', 'd9oqkm', '6zacpq', 'fu1357', 'ftdi5f', 'gej4c1']",11
post_cluster_240,Just feel so unmotivated.,"['nkeood', 'iyrwhs', 'o3lnxr', 'dbvjqv', 'i1odt4', 'ewb4ds', 'f2tcfk', 'eon7ts', 'esfcxh', 'l078xz', '9m7cez']",11
post_cluster_241,I got stood up today,"['msyx5x', 'ai70qk', 'c4sa87', 'baxoj1', '6uhfif', 'duvylg', 'awmqj9', 'almb1i', '8cbtfk', 'dfcjme', '668g2k']",11
post_cluster_242,I start my internship next week!,"['k5sda2', 'c1aocm', '8cvgnj', 'a61atd', '6di08v', 'cgd8xq', '9sugip', '8b3gs2', 'bcoizd', '7enn2b', 'g2nk7q']",11
post_cluster_243,I miss being a high schooler,"['jzjp0n', 'hit:11619_conv:23238_uttr:1', 'qp6e1r', '8iwy7u', '746f76', '9w65lo', 'aav8lh', 'cl4cid', 'g7risp', '7q2i36', 'frfxcy']",11
post_cluster_244,I voted for the first time today,"['jg4fyu', '8gsvfc', '5zkwga', 'bol2nj', '7aylvx', '9pn2u8', '89mpmk', '77ojk7', 'jbdzn9', 'dnx6j7', 'hit:4478_conv:8957_uttr:1']",11
post_cluster_245,I love you,"['c3k3xu', 'i01ydp', '9o8che', 'c24p1x', '7bb9pr', '6lfc5g', 'fdvb8w', 'fy4ozo', '5wue3b', 'cha03c', 'ec450x']",11
post_cluster_246,I got my first girlfriend!,"['gm0ndk', '64ndx4', '6fmkyh', '5xqykl', 'eviok0', 'iecd9y', '9i6rud', 'g6h7ir', 'igpss6', 'f8nqa6', 'kfhl82']",11
post_cluster_247,I love my best friend,"['g5y31n', 'fs33bt', 'bwe1kn', 'q6m7yz', 'jf9tj1', 'coi9cq', 'hjtno1', 'a6w6kc', 'ff8tju', 'hit:12205_conv:24410_uttr:1', '80finz']",11
post_cluster_248,What projects are you working on currently?,"['ff66zo', '5mfvcl', '93zoil', '66jqny', '63ivkf', '5t8j8x', '8qbkpk', '6zgrdg', 'bw82ye', '63hc3x', '6v1uzl']",11
post_cluster_249,I messed up,"['7s4hfz', 'fcy7gp', '9q8x98', '721vfy', '5oaoav', '7ai0nk', '9hvtf3', '8y6vtx', 'f3eicn', '9hxb8m', 'fb8pb6']",11
post_cluster_250,I’m really tired.,"['f7kb6k', '9m1gem', '8l3nhv', 'cuh5zj', 'kt8458', 'fnes54', 'curu0c', 'flmjnn', 'gt8kuy', 'ju4z7r', '736e5p']",11
post_cluster_251,I confessed my feelings to my crush today,"['ees8zs', 'q3v5zv', '9hvbjf', '8r83t7', 'a95qgv', '76n26c', '7tlvuq', '9yxaoa', 'e65da9', '6slhcx', '9yun0c']",11
post_cluster_252,I love being alone.,"['d1fnaw', '7wr7aj', 'cg3t3v', 'fax41r', '8smok8', 'nny2x9', '8hbkdm', '9vuzz3', '9or80n', 'hit:8572_conv:17144_uttr:1', 'hianwd']",11
post_cluster_253,I just got my first pair of glasses.,"['ctx7kx', 'fgrpdv', '6l7ult', 'a4l5nd', '7sgctq', 'e0bfha', 'm1f43j', '7h4745', '7xt2dd', '9da6w1', '7i175b']",11
post_cluster_254,Can you send me some good vibes?,"['chkm7k', 'n9osab', 'dzyt6z', 'fae0n4', 'ik8gak', '8136nf', 'bh85jy', '7ik2c0', '7m9sry', '97wa3b', '6r00u0']",11
post_cluster_255,What’s keeping you up tonight?,"['774ei7', '77c7fy', '77r5f1', 'c5a5oy', '77jzzd', '78569g', '7zl0yc', '6r2eyg', '6kybwo', 'ai8cxw', '90w9v1']",11
post_cluster_256,My car got stolen,"['9z7fo7', '9r66q4', 'hit:9650_conv:19301_uttr:1', 'hit:3976_conv:7953_uttr:1', '7pjxyi', '5sgsvm', '8lh0j4', 'd94h1q', '8fyu5w', 'hit:1306_conv:2612_uttr:1', 'dflqdh']",11
