id,summarized,text,length
hit:39_conv:78_uttr:2,1,That is seriously the worst... waiting around all day wondering whats going on!,16
hit:41_conv:83_uttr:2,1,It is sweet to see them grow and learn.,10
hit:43_conv:86_uttr:2,1,Traveling is hard work.,5
hit:44_conv:88_uttr:2,1,Omg... thats terrible!,6
hit:44_conv:89_uttr:2,1,That is really cool!,5
hit:45_conv:90_uttr:2,1,I've been too busy to notice new movies out.,11
hit:47_conv:95_uttr:2,1,I like going to water park.,7
hit:48_conv:96_uttr:2,0,"Are you ok, you have to tell me what happened.",12
hit:48_conv:97_uttr:2,1,That must have been scary.,6
hit:50_conv:100_uttr:2,0,Did you wait a lot?,6
hit:50_conv:101_uttr:2,0,Shame on them.,4
hit:52_conv:104_uttr:2,0,What are they doing that is upsetting you?,9
hit:52_conv:105_uttr:2,1,What happened next?,4
hit:53_conv:106_uttr:2,0,Please tell me that he was friendly and nothing creepy!,11
hit:53_conv:107_uttr:2,1,That would pretty amazing.,5
hit:54_conv:108_uttr:2,1,Studying can be a real challenge sometimes.,8
hit:55_conv:111_uttr:2,1,I lost my job once as well and times got really hard.,13
hit:57_conv:114_uttr:2,1,wow!,2
hit:58_conv:116_uttr:2,0,I do that all of time.,7
hit:58_conv:117_uttr:2,0,"O wow that is a long time, Are you happy with it?",14
hit:59_conv:118_uttr:2,1,"I know, it probably feels lonely.",8
hit:59_conv:119_uttr:2,0,I would have went running like forest gump - what did you do?,14
hit:61_conv:123_uttr:2,0,Oh no... were they relaxed about it or did it cause a problem?,15
hit:62_conv:124_uttr:2,0,Why is that?,4
hit:62_conv:125_uttr:2,1,I just lost mine in November.,7
hit:63_conv:127_uttr:2,0,I dont like rude people either did you tell him?,12
hit:64_conv:129_uttr:2,1,Wow!,2
hit:66_conv:132_uttr:2,1,I know my eyes hurt when staring at the bright white screen on computers .,15
hit:66_conv:133_uttr:2,1,Nostalgia.,2
hit:67_conv:135_uttr:2,1,Thats too bad.,5
hit:69_conv:138_uttr:2,1,Still going.,3
hit:69_conv:139_uttr:2,0,Did you go through a breakup recently?,8
hit:70_conv:140_uttr:2,1,What happened to him?,5
hit:70_conv:141_uttr:2,1,Oh man.,3
hit:71_conv:142_uttr:2,1,Maybe you could hire somebody for a few hours a week and join a gym or yoga class.,19
hit:71_conv:143_uttr:2,1,Can't always help unfortunately.,6
hit:73_conv:146_uttr:2,0,"Thats great, was the result good?",9
hit:74_conv:148_uttr:2,1,"I think coding, etc, seems very hard.",10
hit:74_conv:149_uttr:2,1,How do you anticipate dealing with people who are afraid of needles?,13
hit:75_conv:150_uttr:2,1,Thats good.,4
hit:75_conv:151_uttr:2,1,Good luck!,3
hit:76_conv:153_uttr:2,1,Very nice!,3
hit:79_conv:159_uttr:2,1,I hope you get the sale.,7
hit:80_conv:161_uttr:2,1,Do they need your help a lot?,8
hit:81_conv:162_uttr:2,1,That's sucks.,4
hit:81_conv:163_uttr:2,0,What happened?!,4
hit:83_conv:166_uttr:2,0,surprise party or intervention,4
hit:83_conv:167_uttr:2,0,That is exciting and scary all at the same time,10
hit:85_conv:170_uttr:2,1,That's gotta be terrible.,7
hit:85_conv:171_uttr:2,1,O im sorry to hear that!,8
hit:86_conv:173_uttr:2,0,What happened?!,4
hit:87_conv:174_uttr:2,0,I have no idea what that is.,8
hit:88_conv:176_uttr:2,0,O No! Are they going to offer you any kind of package?,14
hit:88_conv:177_uttr:2,0,How is it looking?,5
hit:89_conv:179_uttr:2,0,What charities do you like to give too,8
hit:90_conv:180_uttr:2,0,I hope someone turns it in soon to you.. did you lose out on money too?,18
hit:90_conv:181_uttr:2,0,Did you buy tickets or win them?,8
hit:91_conv:182_uttr:2,0,What game did they win?,6
hit:93_conv:186_uttr:2,1,Try online dating!,4
hit:93_conv:187_uttr:2,1,Were you able to get her help in time!,10
hit:94_conv:189_uttr:2,1,Im sorry to hear that.,7
hit:95_conv:191_uttr:2,0,were you afraid of the dark?,7
hit:96_conv:193_uttr:2,1,Wow that is great!,5
hit:97_conv:194_uttr:2,0,Why don't you say something?,7
hit:98_conv:196_uttr:2,1,That sounds really nice!,5
hit:100_conv:200_uttr:2,0,Sorry to hear that.,5
hit:100_conv:201_uttr:2,0,"That is a terrible thing to happen, I'm sure...",12
hit:101_conv:202_uttr:2,0,"Nice, how was the water.",7
hit:102_conv:205_uttr:2,0,How much?,3
hit:103_conv:207_uttr:2,0,I think it's my turn to win the lottery,10
hit:106_conv:212_uttr:2,0,Where did you meet her?,6
hit:107_conv:214_uttr:2,1,Nice.,2
hit:107_conv:215_uttr:2,1,Good luck!,3
hit:110_conv:220_uttr:2,1,You should never lie to them.,7
hit:110_conv:221_uttr:2,1,Nice.,2
hit:111_conv:223_uttr:2,1,I love going to the beach,6
hit:112_conv:224_uttr:2,1,Makes me angry.,4
hit:112_conv:225_uttr:2,0,Did he have a weapon?,6
hit:114_conv:228_uttr:2,1,Wow!,2
hit:114_conv:229_uttr:2,0,Did you find it?,5
hit:115_conv:230_uttr:2,1,Do you think you will get it?,8
hit:116_conv:233_uttr:2,0,I watched the first season.,6
hit:118_conv:237_uttr:2,1,Cabin sounds really cozy.,5
hit:121_conv:242_uttr:2,0,What kind of rock would you want to be?,10
hit:123_conv:246_uttr:2,0,"I feel your pain, that happened to me a few years ago, I ended up having to settle on a job I didn't like just to make ends meet.",33
hit:126_conv:252_uttr:2,1,Thats great.,4
hit:126_conv:253_uttr:2,1,"I really am not a huge sports fan, so what was so big about this?",17
hit:135_conv:270_uttr:2,0,Was it as you remembered it?,7
hit:137_conv:275_uttr:2,1,Yes.,2
hit:138_conv:276_uttr:2,1,Did you get rid of the evidence?,8
hit:138_conv:277_uttr:2,0,Do you study?,4
hit:139_conv:278_uttr:2,0,Interviews can be nerve wrecking.,6
hit:142_conv:284_uttr:2,0,"Yes, so are you having nice weather,or is it too dry and need some rain?",19
hit:143_conv:287_uttr:2,1,"The house didn't get flooded, right?",9
hit:144_conv:288_uttr:2,1,No note left on your car or anything from the other driver?,13
hit:149_conv:298_uttr:2,1,That does sound scary!,5
hit:149_conv:299_uttr:2,0,"That can be a fun time, it is nice to watch kids sometimes",14
hit:150_conv:300_uttr:2,0,"Nice, I am glad to hear about that",9
hit:151_conv:303_uttr:2,0,That must have been a burden lifted for sure!,10
hit:152_conv:304_uttr:2,0,"That's a shame, since rain is really nice to watch and hear even disregarding the dryness over there.",21
hit:152_conv:305_uttr:2,0,That's usually a sign of a lack of confidence or self esteem in ones self I believe.,19
hit:153_conv:307_uttr:2,0,"I am sure you can, it just takes dedication and effort is all!",15
hit:154_conv:308_uttr:2,1,"you didn't get hurt, right?",8
hit:156_conv:312_uttr:2,0,"I have not, I did hear that England lost recently though.",13
hit:156_conv:313_uttr:2,1,"Oh no, sorry to hear that!",8
hit:157_conv:314_uttr:2,0,Did this make you excited?,6
hit:157_conv:315_uttr:2,0,"I am sorry to hear that, maybe things will work themselves out!",14
hit:158_conv:316_uttr:2,0,"That sounds embarrassing, what happened after?",8
hit:162_conv:325_uttr:2,0,"That is very sad, did he ever get sober?",11
hit:163_conv:326_uttr:2,1,"Wow, that's quite a move.",8
hit:163_conv:327_uttr:2,1,Oh man that's a bad situation.,8
hit:165_conv:331_uttr:2,0,How did he manage to do that?,8
hit:166_conv:333_uttr:2,0,Did you get it done?,6
hit:167_conv:334_uttr:2,1,That is really awful.,5
hit:169_conv:339_uttr:2,0,"Wow, it's a wounder you did not get killed!",12
hit:170_conv:341_uttr:2,1,"That time with the kids will really be worth it, ultimately.",13
hit:172_conv:344_uttr:2,1,"I have really improved them myself, good to hear that you have too.",15
hit:174_conv:349_uttr:2,0,"I would not, they have to learn at some point!",12
hit:176_conv:352_uttr:2,1,"Damn, I wish I had a car myself.",10
hit:177_conv:354_uttr:2,0,"That's impressive, sounds like a smart young man.",11
hit:180_conv:360_uttr:2,0,"That is something I want to do when I get older, I miss the golden days!",18
hit:180_conv:361_uttr:2,0,"That's tragic, I haven't had to deal with anything like that yet.",16
hit:183_conv:366_uttr:2,0,"How exciting, are you from France?",8
hit:183_conv:367_uttr:2,1,Great.,2
hit:184_conv:369_uttr:2,0,Was the person one of those one people who goes like 5 miles an hour in a 65?,19
hit:185_conv:371_uttr:2,0,How did you respond after rejection?,7
hit:186_conv:372_uttr:2,0,"I am sorry to hear that, I hope things turn around for you soon!",16
hit:187_conv:374_uttr:2,1,omg congratulations!,3
hit:189_conv:379_uttr:2,0,"I know that feeling, good for you!",9
hit:192_conv:384_uttr:2,0,"I am glad to hear that, did you repay him?",12
hit:192_conv:385_uttr:2,1,sibling fights worth living for..,6
hit:194_conv:388_uttr:2,1,Good job!,3
hit:194_conv:389_uttr:2,1,I also play gameboy from time to time,8
hit:195_conv:390_uttr:2,1,I hope you weren't hurt.,7
hit:198_conv:396_uttr:2,1,That sounds like fun!,5
hit:201_conv:403_uttr:2,1,I bet you had a great time!,8
hit:202_conv:404_uttr:2,1,Is she better?,4
hit:203_conv:406_uttr:2,1,It is just a devasting thing that is happening.,10
hit:212_conv:424_uttr:2,1,"yes, especially if you travel a lot and for a long time.",14
hit:213_conv:427_uttr:2,1,That sounds very sad.,5
hit:214_conv:428_uttr:2,0,What happened?,3
hit:214_conv:429_uttr:2,1,It's easier these days with the likes of social media.,12
hit:219_conv:438_uttr:2,1,It does happen sometimes.,5
hit:219_conv:439_uttr:2,0,Brain just wants to work against you?,8
hit:222_conv:445_uttr:2,0,Were you using it to get to a specific place?,11
hit:224_conv:448_uttr:2,1,Sorry you had to go through that.,8
hit:224_conv:449_uttr:2,0,How do you feel now after so long being there?,11
hit:226_conv:452_uttr:2,1,That is terrible.,4
hit:226_conv:453_uttr:2,1,Did you feel lonely?,5
hit:228_conv:457_uttr:2,1,Conventions give you an opportunity to learn as you never know what kind of situations will prop up,18
hit:232_conv:464_uttr:2,1,Oh wow that sounds awful!,6
hit:234_conv:469_uttr:2,0,Did you take that chance and redo it?,9
hit:236_conv:473_uttr:2,0,So have you gotten to open it yet??,10
hit:237_conv:475_uttr:2,1,Hopefully you can get a replacement.,7
hit:241_conv:482_uttr:2,0,Did you play it?,5
hit:241_conv:483_uttr:2,0,I imagine that made you feel empathetic to his plight.,11
hit:242_conv:484_uttr:2,1,That's unfortunate.,4
hit:243_conv:486_uttr:2,0,What did you and your friends do on that day?,11
hit:244_conv:488_uttr:2,0,"Oh no, did you report it to the police?",11
hit:250_conv:501_uttr:2,1,Oh really?,3
hit:252_conv:504_uttr:2,1,Aww!,2
hit:253_conv:506_uttr:2,1,Was it for a special occasion?,7
hit:254_conv:509_uttr:2,0,Where did you see it?,6
hit:258_conv:516_uttr:2,1,I wish I could do that.,7
hit:259_conv:518_uttr:2,0,That is such a stressful thing to come home to!,11
hit:259_conv:519_uttr:2,1,Oh how nice!,4
hit:262_conv:524_uttr:2,1,What battle?,3
hit:263_conv:527_uttr:2,1,"Wow, I'm sure it will work.",9
hit:264_conv:528_uttr:2,1,That is great.,4
hit:264_conv:529_uttr:2,1,Wow.,2
hit:265_conv:531_uttr:2,1,That can be both exciting and terrifying?,8
hit:269_conv:538_uttr:2,0,"Sorry to hear that, what happened?",8
hit:270_conv:541_uttr:2,0,"Did you tell him, or did he find out?",11
hit:273_conv:546_uttr:2,0,What is your health issue?,6
hit:273_conv:547_uttr:2,0,"Oh no, were you able to tell her you did it?",13
hit:274_conv:549_uttr:2,1,I would not want to live like that.,9
hit:276_conv:553_uttr:2,0,How is she feeling?,5
hit:277_conv:554_uttr:2,0,How did that make you feel,6
hit:277_conv:555_uttr:2,1,OH I am sorry to hear that.,8
hit:278_conv:556_uttr:2,0,"I remember those days, what subject?",8
hit:280_conv:561_uttr:2,1,I would not feel very comfortable until i got to know the family.,14
hit:281_conv:562_uttr:2,1,"Oh, well that isn't fair of your boss!",11
hit:284_conv:568_uttr:2,1,Were the cops able to find any evidence?,9
hit:285_conv:570_uttr:2,1,How sweet!,3
hit:286_conv:572_uttr:2,1,Is there any particular reason why you're scared of the ocean?,13
hit:288_conv:576_uttr:2,1,Do you not study?,5
hit:289_conv:578_uttr:2,0,You can be the next trump if you work hard.,11
hit:290_conv:580_uttr:2,1,You two were close?,5
hit:292_conv:584_uttr:2,0,I know that must have been so disappointing!,9
hit:293_conv:586_uttr:2,0,"Does he have good characteristics too, or is he just annoying all the time?",16
hit:294_conv:588_uttr:2,1,Do you play soccer,4
hit:295_conv:590_uttr:2,1,I'm sure you had a good reason.,9
hit:297_conv:594_uttr:2,0,What song was it?,5
hit:298_conv:597_uttr:2,1,Cool.,2
hit:299_conv:599_uttr:2,1,I would settle for a British butler.,8
hit:301_conv:602_uttr:2,0,I agree completely.,4
hit:303_conv:606_uttr:2,0,What did he buy you?,6
hit:306_conv:612_uttr:2,1,"Oh, I'm sorry to hear that.",9
hit:307_conv:614_uttr:2,1,It's a good example to set for your coworkers too!,12
hit:308_conv:616_uttr:2,1,I can relate - we've been in our house 18 years and have yet to do anything.,19
hit:311_conv:622_uttr:2,1,Is there something wrong with you?,7
hit:312_conv:624_uttr:2,1,Are you shorter than average?,6
hit:314_conv:628_uttr:2,1,I could not care less.,6
hit:314_conv:629_uttr:2,0,Where does she work?,5
hit:315_conv:630_uttr:2,0,What score did they get?,6
hit:317_conv:634_uttr:2,1,That must have been stressful.,6
hit:319_conv:639_uttr:2,1,Is he able to get treatments?,7
hit:321_conv:642_uttr:2,1,You should be happy with who you are.,9
hit:322_conv:644_uttr:2,1,Have you been training?,5
hit:323_conv:646_uttr:2,1,Were you close?,4
hit:325_conv:650_uttr:2,0,I saw that movie a long time ago.,9
hit:326_conv:653_uttr:2,1,Was it for high school or college?,8
hit:327_conv:654_uttr:2,1,"Yikes, door guy can't catch a break.",10
hit:329_conv:658_uttr:2,1,"Awe, I am sorry for your loss.",9
hit:333_conv:666_uttr:2,1,She seems to be nice person,6
hit:333_conv:667_uttr:2,0,That is great.,4
hit:338_conv:676_uttr:2,0,aww he must be adorable.,6
hit:338_conv:677_uttr:2,1,How big is your house?,6
hit:339_conv:679_uttr:2,0,Hindsight and all that - do you miss her?,10
hit:342_conv:684_uttr:2,1,How deid it happen?,5
hit:342_conv:685_uttr:2,0,How much would you like to lose?,8
hit:343_conv:686_uttr:2,1,I know how that can be such a struggle.,10
hit:345_conv:690_uttr:2,1,Grandpa passed 1 month ago,5
hit:347_conv:694_uttr:2,1,That is fun!,4
hit:348_conv:696_uttr:2,0,"Oh no I'm sorry about that, do you have any family that can help?",17
hit:349_conv:699_uttr:2,1,That is an awesome dad.,6
hit:350_conv:700_uttr:2,1,It sounds like she had a long and happy life.,11
hit:352_conv:704_uttr:2,0,"Oh, wao those a terrible news, is there any way to keep the house?",17
hit:353_conv:706_uttr:2,1,Any stitches necessary?,4
hit:354_conv:708_uttr:2,1,Was you mother alright?,5
hit:355_conv:710_uttr:2,1,"Ah, congratulations!",4
hit:357_conv:714_uttr:2,1,Are you going anywhere special?,6
hit:358_conv:716_uttr:2,1,That truly sounds like a blessing for you.,9
hit:358_conv:717_uttr:2,0,I'm glad you and your husband communicate enough to know that!,13
hit:359_conv:718_uttr:2,0,"Thats awesome, congratulations for sure",7
hit:359_conv:719_uttr:2,1,Wow.,2
hit:360_conv:720_uttr:2,1,Have you been looking for a job for long?,10
hit:362_conv:724_uttr:2,1,Is this normal for your friend.,7
hit:363_conv:726_uttr:2,0,"I am sure you will do well, it isnt too hard",13
hit:364_conv:728_uttr:2,0,"That's good to hear, it's inspiring to see humans support each other in times of need I think.",22
hit:365_conv:730_uttr:2,0,"Cool, want kind of music will the competition have?",11
hit:366_conv:732_uttr:2,0,Did you ask why it took so long to get a raise?,13
hit:366_conv:733_uttr:2,0,How did that make you feel?,7
hit:370_conv:740_uttr:2,1,Wow.,2
hit:370_conv:741_uttr:2,1,Bet you were shocked and happy at the same time!,11
hit:371_conv:742_uttr:2,1,Oh I'm so sorry to hear that.,9
hit:371_conv:743_uttr:2,1,Oh nice did you have fun?,7
hit:373_conv:747_uttr:2,1,"That is so hard, to feel like you've been looked over.",14
hit:375_conv:750_uttr:2,1,I know what a crushing experience the passing of a beloved pet can be.,15
hit:375_conv:751_uttr:2,1,Did you like her enough to go on a 2nd date?,12
hit:376_conv:752_uttr:2,0,Did he pass away or not live close to you?,11
hit:377_conv:754_uttr:2,0,How come?,3
hit:377_conv:755_uttr:2,0,How do you feel about that?,7
hit:379_conv:758_uttr:2,1,Awesome!,2
hit:379_conv:759_uttr:2,0,"Uhmmnnn,that could have been really emotional for you",10
hit:381_conv:763_uttr:2,0,What did your friend say?,6
hit:382_conv:764_uttr:2,1,Did you have somewhere safe that you went to>,10
hit:383_conv:767_uttr:2,0,What is happening in February?,6
hit:386_conv:772_uttr:2,1,My day was pretty good.,6
hit:390_conv:781_uttr:2,1,I completely understand.,4
hit:391_conv:782_uttr:2,1,Interesting!,2
hit:393_conv:786_uttr:2,1,Awesome!,2
hit:393_conv:787_uttr:2,1,Oh yeah?,3
hit:398_conv:796_uttr:2,1,Oh thats sounds fun!,6
hit:400_conv:800_uttr:2,0,Why did you make that choice?,7
hit:406_conv:812_uttr:2,1,Sorry to hear that.,5
hit:408_conv:816_uttr:2,0,I can imagine because becoming a mother was the best time in my life!,15
hit:409_conv:818_uttr:2,0,how on earth did it get stuck?,8
hit:410_conv:820_uttr:2,1,Did he end up crying when he saw the puppy?,11
hit:417_conv:834_uttr:2,0,Did she jumped really high or something?,8
hit:417_conv:835_uttr:2,1,Oh I am sorry to hear that.,8
hit:420_conv:840_uttr:2,1,I am sorry to hear that.,7
hit:421_conv:843_uttr:2,0,What would you have done in that situation?,9
hit:425_conv:850_uttr:2,1,Unless he was hot...,5
hit:425_conv:851_uttr:2,1,Oh really?!,4
hit:429_conv:859_uttr:2,1,I've been to all the parks a bunch of times.,12
hit:433_conv:867_uttr:2,1,You must have good credit.,6
hit:435_conv:870_uttr:2,1,Seeing my friends kid read the books I used to read brings back great memories.,16
hit:436_conv:873_uttr:2,1,Is everything okay?,4
hit:438_conv:876_uttr:2,1,Ah that sounds like a good time.,8
hit:439_conv:878_uttr:2,0,I hope they are good cooks.,7
hit:440_conv:881_uttr:2,0,What did you order?,5
hit:443_conv:886_uttr:2,1,I think the place we work and the area in which we live make a big difference.,18
hit:445_conv:890_uttr:2,1,That seems bad and I am sorry to hear that.,11
hit:446_conv:892_uttr:2,0,Was it cold?,4
hit:447_conv:894_uttr:2,1,Is there something good going to happen on Sunday?,10
hit:450_conv:901_uttr:2,1,Victor mentality.,3
hit:451_conv:902_uttr:2,1,How disappointing.,3
hit:452_conv:904_uttr:2,1,I bet your heart stopped in that moment.,9
hit:456_conv:912_uttr:2,1,I was miserable as a kid.,7
hit:458_conv:916_uttr:2,0,Were you able to finish right?,7
hit:458_conv:917_uttr:2,1,I'm sorry.,4
hit:459_conv:919_uttr:2,1,"Modern technology is amazing, right?",7
hit:460_conv:920_uttr:2,0,It's summer now for me.,7
hit:461_conv:923_uttr:2,1,The world cup right?,5
hit:462_conv:924_uttr:2,1,This has to be a very stressful time for you.,11
hit:463_conv:927_uttr:2,1,Congratulations.,2
hit:464_conv:928_uttr:2,1,I can tell your family loves you a lot!,10
hit:465_conv:930_uttr:2,1,I would have walked around with a flashlight until someone felt sorry for me and fixed it,17
hit:468_conv:937_uttr:2,1,But i think you should stop gambling,7
hit:470_conv:941_uttr:2,1,"I just had a cat disappear, it's quite sad.",12
hit:471_conv:942_uttr:2,1,Wow.,2
hit:471_conv:943_uttr:2,1,"Oh my god, fresh cookies that you hand baked??",12
hit:472_conv:945_uttr:2,1,come on now?,4
hit:473_conv:947_uttr:2,1,Wow that is exciting for sure.,7
hit:475_conv:951_uttr:2,1,I have adult add and tend to be impulsive and am horrible at socializing.,15
hit:476_conv:953_uttr:2,1,It's always a relief to talk things out.,10
hit:477_conv:954_uttr:2,1,Oh yeah?,3
hit:478_conv:957_uttr:2,1,i really feel pissed off,5
hit:479_conv:958_uttr:2,0,"My same exact sentiments, it can be lonely out here.",12
hit:480_conv:960_uttr:2,1,That's awesome.,4
hit:482_conv:965_uttr:2,1,I hope something good came out of it like another good job afterwards.,14
hit:483_conv:967_uttr:2,1,Theres nothing like the relief that comes with not having any assignments or projects due,16
hit:484_conv:968_uttr:2,1,Oh that's too bad!,6
hit:488_conv:977_uttr:2,1,Good to hear!,4
hit:489_conv:978_uttr:2,1,Im curious.,4
hit:492_conv:984_uttr:2,1,At least you got some new storage space!,9
hit:493_conv:987_uttr:2,1,Really?,2
hit:494_conv:988_uttr:2,1,Happy babies are fun,4
hit:495_conv:990_uttr:2,1,I've always wanted to go there!,8
hit:496_conv:992_uttr:2,1,I am sure you deserved it since you put so much effort in the project.,16
hit:497_conv:994_uttr:2,0,"That sounds super fun, I love florida and orlando its quite awesome.",14
hit:497_conv:995_uttr:2,1,That happens to me all the time because I drive a large van with a lot of extras.,19
hit:498_conv:996_uttr:2,1,"Oh damn, that's not good.",8
hit:499_conv:998_uttr:2,1,i think that would be very unbelievable to run into someone out the country especially from school.,18
hit:500_conv:1001_uttr:2,1,"Wow, thats amazing!",6
hit:508_conv:1016_uttr:2,1,It seems like everyone lost that day.,8
hit:511_conv:1022_uttr:2,0,That is bad news and hard to deal with.,10
hit:520_conv:1040_uttr:2,0,It could've been a ghost or maybe a robber?,11
hit:523_conv:1047_uttr:2,1,"That's crazy, I couldn't imagine buying a car at 18.",14
hit:524_conv:1049_uttr:2,1,I don't know too much about net neutrality.,10
hit:525_conv:1050_uttr:2,0,Why do you have to stress so much to get black Friday sales,13
hit:526_conv:1052_uttr:2,1,That is horrible that that occurred!,7
hit:527_conv:1054_uttr:2,1,Hope you enjoy your next year,6
hit:527_conv:1055_uttr:2,0,"Thats awesome, i recently reconnected with my friend, its really awesome when it happens",17
hit:536_conv:1072_uttr:2,1,Is she really nice?,5
hit:537_conv:1074_uttr:2,1,That sounds crazy!,4
hit:540_conv:1081_uttr:2,0,"Nice, like which ones to be specific?",9
hit:542_conv:1084_uttr:2,1,Just know that going through trials and struggling is always good for your character and you will end up that much better of a person for getting through it.,30
hit:542_conv:1085_uttr:2,1,You finally conquer it all with your patient.,9
hit:543_conv:1086_uttr:2,1,Sorry to hear that.,5
hit:548_conv:1097_uttr:2,0,which exam are you taking?,6
hit:551_conv:1102_uttr:2,0,Law seems difficult it seems..,6
hit:555_conv:1110_uttr:2,1,Wow!,2
hit:558_conv:1117_uttr:2,1,That sounds like a fun trip.,7
hit:559_conv:1119_uttr:2,1,Just stay confident!,4
hit:561_conv:1123_uttr:2,1,I heard deep dish pizza is incredible!,8
hit:562_conv:1125_uttr:2,1,Where are you going?,5
hit:565_conv:1131_uttr:2,1,Skydiving sounds like a lot of fun.,8
hit:568_conv:1136_uttr:2,0,oh wow what happened?,5
hit:568_conv:1137_uttr:2,0,How did that wind up going for you?,9
hit:569_conv:1139_uttr:2,1,I'm sorry to hear that it bothers you in a negative way.,14
hit:570_conv:1141_uttr:2,1,Don't you get home sick?,7
hit:571_conv:1142_uttr:2,0,"Oh,congrats!thats great",4
hit:573_conv:1147_uttr:2,0,I bet you wore shoes on the street for a while.,12
hit:574_conv:1148_uttr:2,1,That sounds fun.,4
hit:575_conv:1151_uttr:2,0,What?that is so scary/ What happened after that?,9
hit:577_conv:1154_uttr:2,1,"ooh, sorry about that.",6
hit:578_conv:1156_uttr:2,0,"Woo,i wish i was there,congrats",9
hit:578_conv:1157_uttr:2,0,Well then avoid the stories that scare you.,9
hit:579_conv:1158_uttr:2,1,Oh wow.,3
hit:580_conv:1161_uttr:2,0,Did your girlfriend cheat on you?,7
hit:583_conv:1166_uttr:2,1,You feeling nervous about that?,6
hit:583_conv:1167_uttr:2,0,"Oh really, what was the judge's reaction to that",11
hit:588_conv:1176_uttr:2,0,"ooh, sorry about that, why cant you join the",12
hit:591_conv:1182_uttr:2,1,I surely feel your pain.,6
hit:594_conv:1188_uttr:2,0,"Uh oh, how did they react to that",9
hit:598_conv:1197_uttr:2,1,What type of foods did you mostly eat?,9
hit:599_conv:1198_uttr:2,1,"Hahahaha, it's really scary to read scary stories at night..",13
hit:601_conv:1202_uttr:2,1,"Really,i missed that.",6
hit:610_conv:1221_uttr:2,1,Are you well prepared for the move?,8
hit:611_conv:1223_uttr:2,0,"Hahahaha, what was she thinking?",7
hit:619_conv:1238_uttr:2,1,What sort of things has he changed or started doing?,11
hit:622_conv:1244_uttr:2,1,"Not exactly the same situation, though.",8
hit:622_conv:1245_uttr:2,1,Sorry to hear that.,5
hit:623_conv:1247_uttr:2,0,"Wow, did he forget your address?",8
hit:627_conv:1254_uttr:2,0,"Wow, cool how did that happen?",8
hit:627_conv:1255_uttr:2,1,Did everything go as expected?,6
hit:636_conv:1272_uttr:2,0,k then what u do that time,7
hit:636_conv:1273_uttr:2,0,Like bad dreams or what?,6
hit:638_conv:1276_uttr:2,0,What engineering type did you graduate in?,8
hit:638_conv:1277_uttr:2,1,There was an old game that I loved Crash Bandicoot.,11
hit:640_conv:1280_uttr:2,1,Greed consumes all.,4
hit:640_conv:1281_uttr:2,0,"Jealousy is the root of hatred,too bad",9
hit:644_conv:1289_uttr:2,0,what does the pen symbolise,5
hit:645_conv:1291_uttr:2,0,What field is that?,5
hit:646_conv:1292_uttr:2,1,Wow thats great.,5
hit:646_conv:1293_uttr:2,1,Do you find yourself in that situation frequently?,9
hit:651_conv:1302_uttr:2,1,Thats horrible.,4
hit:651_conv:1303_uttr:2,1,"Oh boy, that is a very delicate situation.",10
hit:652_conv:1304_uttr:2,0,"That's good to hear, it's always great to have a good relationship with your parents!",19
hit:654_conv:1308_uttr:2,1,"Ah, reminiscing can be nice sometimes though.",9
hit:654_conv:1309_uttr:2,1,Oh really?,3
