id,summarized,text,root,length
qy0fyl,0,What the heck is happening to netlifx,happen,7
qy0ez4,0,So I just bought a pair of bluetooth earphones yesterday,buy,10
qxzm8e,1,I feel really dumb.,feel,5
qxzab6,0,I applied to grad school and haven’t told anyone,apply,10
qxyxqt,0,Just out here trying to find that one amazing friend,try,10
qxx848,1,I also enjoy the podcast called true crime obsessed.,enjoy,10
qxwtjn,0,How I ended up buying a Lamborghini,end,7
qxwcf9,0,Thinking about hitting this girl up,think,6
qxtoyt,1,Never lose doubt everyone.,lose,5
qxq79d,0,I feel so immature compared to other people my age,feel,10
qxn4t9,1,Would love to chat to pass the time.,love,9
qxifhq,0,I paid off my parents’ credit card debt today,pay,10
qxi25i,0,I’m such a proud big sister right now,be,9
qxi1qc,1,What’s your day to day?,’,7
qxe0l8,1,Grocery Shopping; Do you enjoy shopping?,shop,8
qxajyc,0,I'm falling in love too fast,fall,7
qxag8t,0,How to deal with this?,deal,6
qx94hc,0,Help me find an alcoholic drink I like lol,help,9
qx8j2f,0,"I hate the Term ""Brutal Honesty""",hate,8
qx82jw,0,Does anyone want to chat?,want,6
qx7i30,0,Whatever happened to sesame bagels?,happen,6
qx6uys,0,After 10 months of trying it finally happened,happen,8
qx524i,1,Gonna get ready for my appointment now.,go,9
qx4fep,0,I wanna improve myself,improve,4
qx33oa,1,Poorly constructed.,construct,3
qx2ngv,0,I've always thought about doing this...,think,8
qx2fiw,0,I got accepted to school,accept,5
qx06sb,0,Have you ever heard of a friendsgiving?,hear,8
qwzx8d,0,I woke up and paused my dream,wake,7
qwzosc,0,Covid sucks!,suck,3
qwv3s3,1,Does anyone else remember those days?,remember,7
qwr4ul,0,Caught in Providence show,catch,4
qwkb3h,0,What music hits you right in the feels?,hit,9
qwk7fx,0,my cat finally is sleeping under my blanket!,sleep,9
qwj07n,0,Feeling unwanted,feel,2
qwimrv,1,I feel like I need to get it out.,feel,10
qwhwg8,0,I freaking love Etsy,freak,4
qwht1g,0,I feel so lame and boring for not drinking,feel,9
qwhpfl,0,"Well, I guess I'm a hippo father.",guess,10
qwhk8f,0,Magic explains bicycles,explain,3
qwhe67,0,I quit a job recently,quit,5
qwh1hq,1,Just saw the new Dune movie last night.,see,9
qwgt5g,0,"So Many People Care, and I Appreciate it",care,9
qwgrsv,0,Feeling lost and want to switch careers paths,feel,8
qwgnx7,0,How's everyone's seasonal depression treating them?,treat,9
qwfdom,0,Would anyone like to talk and maybe be friends?,like,10
qwf4ad,0,28/M whipping it up In the kitchen,whip,9
qwefyy,0,My family has never gotten an actual present from me,get,10
qwd3g3,0,They finally gave me a chair at work,give,8
qwcq79,1,What would you guys pick?,pick,6
qwcav5,0,Anybody else find physical affection exhausting sometimes?,find,8
qwbkur,0,Today I randomly decided to buy a 950 euro computer,decide,10
qwb39s,0,What makes you unique?,make,5
qw9vse,0,New wallpaper makes me feel like I bought new phone,make,10
qw93xg,0,Anyone feel like they have low self esteem,feel,8
qw8zy6,0,Can’t think of a good senior quote,think,8
qw7k91,1,This could literally last for days.,last,7
qw6flx,0,I'm seriously considering dropping out of university,consider,8
qw6013,1,I guess I went overboard,guess,5
qw3h54,1,"Without even thinking twice, home I go.",go,9
qw3gxc,0,I could quite literally sleep for years,sleep,7
qvzq33,0,I want to live longer than 100 years,want,8
qvznx3,1,Hate myself for not sticking to my boundaries.,hate,9
qvzild,0,I don't feel at home,feel,6
qvvof0,0,Taught my little sister to make pizza toast,teach,8
qvukpn,0,I got my wisdom teeth extracted yesterday,get,7
qvtz00,0,I want to be immortal and very rich,want,8
qvts47,1,Don't take things too seriously!,take,7
qvspd9,1,Do you feel like no one fully understands you?,feel,10
qvrloq,0,I didn’t pick up the dog shit tonight,pick,9
qvpu2c,1,Could someone say something to cheer me up?,say,9
qvpffa,0,I love paying in $2 bills,love,7
qvp2o9,0,I love my cousin so much,love,6
qvonj3,0,Stuck in a foreign country with covid,stick,7
qvnpk8,0,I've never liked a cat other than this one,like,10
qvm42l,0,"So, tell me how is your evening going?",tell,10
qvlu2e,0,How does everyone calm their anxiety during wait times,calm,9
qvk7vk,0,Friend tried to recruit me to a Pyramid Scheme.,try,10
qvjlvv,0,I saw a man wearing a kilt irl today,see,9
qvhn9m,1,I still feel like a kid sometimes.,feel,8
qvhbdb,0,29 UK Looking for friends in the UK,look,8
qvbimo,0,I released a song today and finished a new one,release,10
qv8zvz,0,Anyone know a good way to do this,know,8
qv8uzi,0,What made me decide to get vaccinated,make,7
qv8f3p,0,I might actually make it!,make,6
qv2e1u,0,I don’t enjoy hanging out with women,enjoy,8
qv2bt6,0,I’m scared of leaving my girlfriend,be,7
qv29ac,1,It feels good to let go of the past.,feel,10
quxoew,0,I don't really like video games anymore,like,8
quxnok,0,Covid has changed the course of our lives,change,8
quxldx,0,What do you guys think of this song?,think,9
quv0fv,0,Does anyone know how to tolerate loud people?,know,9
quq44e,0,Give me sandwich sauce and bread ideas!,give,8
qukbo3,0,How do you make friends?,make,6
qudc1d,1,I want to try a new food dish.,want,9
qucg6r,1,Did anything exciting happen this weekend for ya?,happen,9
quceek,1,What age did you start having kids?,start,8
quc0xh,0,Wish I had a friend to discuss life with,wish,9
qubttv,0,I just got my first salary ever,get,7
qual34,1,Honestly idk I just want to vibe.,want,8
quakyk,0,what is he saying,say,4
qu8zud,0,I just bombed a calculus midterm exam!,bomb,8
qu8q58,0,I want to be in love again.,want,8
qu8fw6,0,Looking to meet other adults to talk to :),look,9
qu88io,0,It Gets Easier...,get,4
qu7ku8,0,I need to talk to someone.,need,7
qu7k8l,0,Day 2 sans weed,weed,4
qu4r18,0,I changed radically.,change,4
qu4fkd,0,Looking for side job suggestions.,look,6
qu48aw,1,I’m feeling a bit lonely.,feel,7
qu2ull,1,Do people include this in list?,include,7
qu24yi,0,What late night mystery did you solve last night?,solve,10
qtsz1k,0,Turning 20 in less than a week,turn,7
qtixev,1,Anyone remember call of duty 3’s campaign?,remember,9
qtin1d,1,who cares.,care,3
qthl38,1,This quote changed my life.,change,6
qthd3p,1,I like to learn as much as possible.,like,9
qth6as,1,Help.,help,2
qtgwef,0,What song or artist can you relate to?,relate,9
qtgfrc,0,i bought my first mechanical keyboard !,buy,7
qtg7db,1,Looking forward to your responses,look,5
qtfraf,0,28/m started watching Erased,start,6
qtccb7,0,Which of these do you remember most?,remember,8
qtbipt,0,I just paid off my car.,pay,7
qtahul,1,I see the underlying motives behind what people do.,see,10
qta94t,0,How do addictions begin?,begin,5
qta6yy,0,Why can’t I spend money on myself,spend,8
qt8syb,0,What’s a hobby you recently discovered?,discover,8
qt6c3m,1,Songs of all genres & languages welcome!,welcome,8
qt2as2,0,I may have met a time traveler,meet,7
qsyp3g,0,Need advice about how to wake up super early.,need,10
qsx3vd,1,I think they know that i know.,think,8
qstgu4,0,Getting back into dating after divorce,get,6
qste54,0,I refused to go along with others this week,refuse,9
qst9y4,1,I need a hobby.,need,5
qsreiu,1,I genuinely enjoy tearing apart other peoples relationships.,enjoy,9
qsr3bx,0,"I'm making pancakes, ftw",make,6
qsqvmz,0,I read my own writing today,read,6
qsozoq,1,"Everything seems tedious, nothing seems exciting.",seem,8
qskx5f,0,Stressed out by something that I am good at,stress,9
qshhmw,0,Anyone else having trouble escaping their comfort zone?,have,9
qsag6y,0,Which language should I learn?,learn,6
qs9p5a,0,Do dreams come true?,come,5
qs89oo,0,What songs are stuck in your head right now?,stick,10
qs6fn1,0,I think she likes me,think,5
qs5q49,0,I don't understand why women get extensions,understand,8
qs5hng,0,Goal met,meet,2
qs5g8m,0,How do you guys prepare for exams??,prepare,9
qs5fuc,0,I dislike pro-gamers,dislike,5
qs5f7i,0,How do i prepare for my internship ?,prepare,8
qs53q2,0,Is trading gifts rude?,trade,5
qs4g2f,1,I want out.,want,4
qs42lq,1,My old friends blocked me.,block,6
qs194a,0,Signed up for a Russian class today,sign,7
qs1565,0,Should I stop waiting for the right time?,stop,9
qs0fc8,0,Tell me a funny/cute story about your pet,tell,10
qs0a2s,0,Hit and run,hit,3
qrxl75,0,I got diagnosed with coromna.,diagnose,6
qrw04a,0,I'm started wearing a fanny pack,start,7
qrvjdv,0,What makes a perfect blanket fort?,make,7
qruq6h,0,I dread graduation day,dread,4
qrpm7o,0,Getting Smoke Smell Out of Grandma’s Old Coat,get,9
qrpd43,0,I love it when people bond over something seemingly random,love,10
qroyh9,0,I got a new job and start next week,get,9
qroogh,1,My life is falling apart.,fall,6
qrmiyq,0,Shout out to all Veterans!,shout,6
qrmgnt,1,I was feeling a lot of internal stress today.,feel,10
qrkt8a,0,Turned down a job interview today.,turn,7
qrkpln,0,i'm going on my first solo flight today,go,9
qrjjnd,0,How do you guys feel post college graduation?,feel,9
qrhz5v,0,Did the first step - I contacted a therapist,contact,9
qrhv85,0,Youtube removing dislikes,remove,3
qrgnom,0,Why do people seek out *romantic* love?,seek,10
qre62r,0,Cleaning out my closets.,clean,5
qrav9g,0,Trying to get side money,try,5
qqvw6j,1,I workout every day.,workout,5
qqvsab,0,finding your own style,find,4
qqv8yd,0,Increase in salary made me even more frugal…,make,9
qqv2z0,0,A stranger cared and made me feel amazing.,care,9
qqv1br,0,What makes your heart feel mushy?,make,7
qqusm9,1,How do you deal with procrastination?,deal,7
qqu3l6,1,I just graduated two months ago.,graduate,7
qqtnae,0,Send me your weirdest song recommendation,send,6
qqt5y0,1,Starting with shoes that really fit.,start,7
qqsvpt,0,Made the guy smile at zoom meeting,make,7
qqjq11,0,Thank you music for saving my life,thank,7
qqg0oe,0,How are you feeling today?,feel,6
qqfulb,0,Welp I fainted at the hair salon,faint,7
qqe80v,1,I hate being pressured.,hate,5
qq8zsq,0,Just got fired,fire,3
qq8voj,0,"Yesterday Sucked, But Today is So Much Better",suck,9
qq8hys,0,I don't like how my clothes fit me!,like,10
qq5ofe,0,I finally got my first job!!!,get,9
qq3zpi,0,My supervisor has been treating me like garbage,treat,8
qq3hy6,0,My girlfriend sent me a helpful drunk message,send,8
qpy83b,0,Looking for suggestions for fun video games with no lootboxes,look,10
qpxwhy,0,I just watched a cat give birth!,watch,8
qpww7g,1,Seriously I wanna know your opinion.,know,7
qpvmeh,1,I enjoy the quiet.,enjoy,5
qprr74,0,Leaf Blowing,blow,2
qprlfv,0,What do y'all think about hustle culture?,think,9
qpqtih,0,I feel like I need some words of encouragement.,feel,10
qpnk7y,1,I woke up feeling a little emotionally rough.,wake,9
qpkgr0,0,Here to listen,listen,3
qpjvyv,0,Random thought: would like to hear your opinion,think,9
qpe0mt,0,Stalker ever since neighbors left.,leave,6
qpdgm1,0,My entire class failed biology,fail,5
qpa8wy,1,I absolutely love learning new languages.,love,7
qp8f8u,0,I quit smoking for a week after feeling sick,quit,9
qp8bzn,1,Life has become boring and monotonous for me.,become,9
qp7lf4,0,My high school principal blocked me on twitter,block,8
qp7dvl,0,Feeling a little extra invisible today.,feel,7
qp77ud,0,Graduating college,graduate,2
qp71n8,0,Just what goes on in Delaware?,go,7
qp6zrp,1,I suppose I could get one from a scalper.,suppose,10
qp6e1r,0,I miss high school.,miss,5
qp676q,0,I just cried in front of my mom,cry,8
qp5cpn,1,We should just stop saying their name altogether.,stop,9
qp55e8,0,My school feels weird.,feel,5
qp50lb,0,I hate capitalism,hate,3
qp5082,0,feel like my depression is killing me,feel,7
qp3r3l,0,Noodles and Company no longer serving cheesy garlic bread :(,serve,10
qp3cbh,0,"Hey, what music do you like?",like,8
qp37ix,0,Why Are Days Getting Shorter,get,5
qp2rxs,1,Anyone wanna talk?,talk,4
qp1smq,0,Investing in myself.,invest,4
qp1ii2,0,let me explain you why bananas are the best fruit,let,10
qozlvz,0,I need to find some winter boots!,need,8
qowd7o,1,I wanna learn new things and discover different hobbies :),learn,10
qow7pb,1,Anybody else got a comfort YouTuber or YouTubers?,get,9
qow5bf,0,I love the live chats.,love,6
qovf2u,0,I finally got my infected piercing out!,get,8
qooshp,0,Got my first tattoo,got,4
qooat3,0,Segway is actually spelled “Segue”,spell,7
qom2mw,1,"OK, so I love wearing a mask.",love,9
qom2m7,0,Why do women wear makeup?,wear,6
qokv22,0,I’m drunk and grateful,be,5
qokj2h,0,I respect when someone has integrity,respect,6
qok3xo,1,I dunno why life suddenly became boring 🥱,dunno,8
qok2ed,1,Anyone want to talk?,want,5
qoim03,0,A girl was checking me out at the subway!,check,10
qoiflr,0,Has anyone here written a book ?,write,7
qohpdl,1,Hows everyone feeling then?,feel,6
qofjq4,0,What does self growth mean to you?,mean,8
qoa2mn,0,So how's you're Saturday going so far?,go,10
qo9sx0,0,"Daylight savings ""fall back""",fall,6
qo9pul,0,So I recently got into Podcasts....,get,7
qo6jra,0,Planning a fairly elaborate random surprise for my wife,plan,9
qo5yl8,1,Probably go to work occasionally.,go,6
qo1ssj,0,Do you ever just feel very emotionally fragile?,feel,9
qnxn7u,0,How to Increase Energy and Motivation,increase,6
qnwt54,0,I hate my birthdays so much,hate,6
qnwdiy,0,Regretting but can't help,regret,5
qnumec,0,making friends is hard to do.,make,7
qnujk1,0,Feeling a little old...,feel,5
qntyp2,0,Journaling brought the little voice in my head back,bring,9
qntyil,0,Nobody cares how you got your teeth so white,care,9
qntmtk,0,We’re really isolated generations aren’t we?,be,9
qnteo0,0,I need more interesting hobbies,need,5
qnpxe7,0,Do you feel connected to your heritage?,feel,8
qnp2j5,0,Weed in North Korea,weed,4
qnoxgo,0,Daily cry time let's gooo,let,6
qnotj4,0,Having a famous grandfather feels wierd,feel,6
qnohxo,0,Could NFTs be used in a more interesting way?,use,10
qnofqb,1,Someone wants to chat about literally anything?,want,8
qnoeu2,1,I know.,know,3
qno94h,0,trying to remember an actors name,try,6
qnl96f,0,I HATE bonfire night!!!!,hate,8
qnhv1e,1,I've never even made out.,make,7
qncx5h,0,Give me something to draw,give,5
qncbk1,1,i feel like everyone hates me.,feel,7
qnaz8r,0,It all feels so arbitrary,feel,5
qnaer9,0,I’m lonely,be,3
qn9y7l,0,What snacks do you stock at home?,stock,8
qn97v3,0,I just got a job on the spot,get,8
qn8rid,1,I just needed that extra little help today.,need,9
qn81cu,0,I really don’t think natural aliens exist,think,8
qn7u9a,1,Looking forward to a mini getaway next month.,look,9
qn7o48,0,I think humans are natural wrestlers.,think,7
qn7i9i,0,I feel like I have an amazing imagination,feel,8
qn6pp8,1,What would that mean?,mean,5
qn6kg8,0,Tell me any of your moments when you were smart,tell,10
qn61al,0,I got promoted,promote,3
qn5a1f,0,Why do people get offended by jokes?,offend,8
qn1zzy,1,I feel it’s pretty interrupting.,feel,7
qmzbyn,0,Just got a job after looking for several months,get,9
qmykme,0,Feel horrible for intruding and horrifying.,feel,7
qmx9tx,0,Anyone else feel like skipping family Thanksgiving?,feel,8
qmqdgs,0,"Eating my kills, and my new obsession.",eat,9
qmpzs2,1,Seems like nobody accepts apologies anymore.,seem,7
qmps8f,1,Hope you guys are having a good day!,hope,9
qmmc2j,1,I’m interested in moving to a major city.,be,10
qml89c,0,Would love some feedback on naming an online bookstore!,love,10
qmjxbg,1,Please include your location and amount.,include,7
qmjpy3,0,Feeling really proud of myself.,feel,6
qmjnbx,0,Becoming a better listener,become,4
qmg8h1,0,How do I let loose a little?,let,8
qmburl,1,i suppose you could say lol,suppose,6
qm7adn,0,How often do you talk your S/O?,talk,10
qm4bab,0,I got a job at Target,get,6
qm3sp1,0,Should I cut off my friends?,cut,7
qm2ygr,0,Should I walk out on my job right now?,walk,10
qm2kv8,1,Go honest?,go,3
qm0yyy,0,I bought my first plushie today.,buy,7
qlzf1b,0,Deleted my Facebook,delete,3
qlys7i,0,"I love ""skin smell""",love,6
qlyk61,0,"If penguins have knees, why do they waddle?",waddle,10
qlx4q0,0,I want to like spiders but just cant!,want,10
qlw9bi,0,Feeling Isolated recently just want to chat,want,7
qlv60c,0,Just scheduled our kids to get vaxxed,schedule,7
qlusyi,0,How do you guys prioritise your hobbies?,prioritise,8
qluplb,1,Please cheer me up please.,cheer,6
qlupfr,1,I woke up early morning to severe abdominal pain.,wake,10
qls0cx,1,What special thing happened to you today?,happen,8
qlrxng,0,I feel like I'm bigger than everyone else.,feel,10
qlrmhn,0,Is my co worker flirting?,flirt,6
qlnjne,1,Feeling pretty lonely.,feel,4
qlniv7,0,Were you “weird” growing up?,grow,8
qlmros,0,I started reading again,start,4
qlivoh,1,Anyone else feel the same?,feel,6
qli78m,0,Food smells traveling?,smell,4
qli55q,0,How to handle being around a crush?,handle,8
qlgqaj,0,I don't like squid game.,like,7
ql89xk,0,my friend group ghosted me after hs,ghost,7
ql7e1t,1,this song always reminds me of that day.,remind,9
ql5kct,0,I started a new job and no one knows...,start,10
ql3hl1,0,Accidently went to work on a holiday,go,7
ql36gb,0,What are your current obsessed with?,obsess,7
ql0kiz,0,Finding Your Passion.,find,4
qkwafg,1,Please use the AABB rhyme scheme,use,6
qkw3xg,1,I just learned I have covid.,learn,7
qktn94,0,I made my first beat/song,make,7
qkpkb0,0,Anyone want to chat?,want,5
qkp1hm,0,Super discouraged about art,discourage,4
qkmy1k,0,Sitting here waiting for an interviewer to show up.,sit,10
qkkjh1,1,Does anyone else feel like this?,feel,7
qkkh8k,0,How’d your Halloween go?,go,6
qkk5eq,0,How do I know what career I should have?,know,10
qkjaca,1,This stinks,stink,2
qkimqd,0,Tell me something good,tell,4
qkh1bb,0,is cussing okay?,cuss,4
qkfzu8,0,I decided to not go to college,decide,7
qkfqor,1,Anyways how's your day going fam,go,7
qkfi82,0,I got trick or treaters!!,get,7
qkelc1,0,"To the guys out there, it can happen!",happen,10
qkeak9,0,Dealing with being cold for the first time ever,deal,9
qkdjzy,0,where are the stoners hiding?!,hide,7
qkde60,0,How do you feel about having older friends?,feel,9
qkd8d4,1,I kept everyone laughing and laughing.,keep,7
qkc0xo,0,Life is made up of little details,make,7
qkbmtx,0,What do they teach in schools now?,teach,8
qk8fb4,1,I just watched the movie Brazil.,watch,7
qk8at3,1,We’ll I took my kid anyway.,take,8
qk7fqh,0,I can’t sleep because my mind is racing.,sleep,10
qk6mrp,0,I lost the game!!,lose,6
qk4pp2,0,I need some tips to help with anxiety.,need,9
qk4k4m,0,I’m going to ask my crush out tomorrow,go,9
qk4eb1,1,Feeling lost and like I irrevocably fumbled the bag.,feel,10
qk0q1n,0,My weekend has had a lot of vomit so far,have,10
qk0oht,0,I don't like the taste of coffee,like,8
qk0i7k,1,Need horror movie advice for Halloween asap!,need,8
qjyf44,0,Does your home give you joy?,give,7
qjxcuh,0,Anyone else blocking their door for Halloween?,block,8
qjwwf8,0,Making changes,make,2
qjwmcl,1,Very rarely I get that friendly spark with someone.,get,10
qju5jx,0,Anyone else doing absolutely nothing for Halloween?,do,8
qjto8w,0,Do you ever experience Alice in Wonderland syndrome?,experience,9
qjtfdn,0,Not seeing the Aurora Borealis was a magical night,see,9
qjrzb3,0,i need friends,need,3
qjqgqu,0,Why is getting an entry level job so hard?,get,10
qjq8ir,1,You know what has really jumped the shark?,know,9
qjpu9v,0,I'm totally freaking out right now,freak,7
qjnjks,0,Why do i ghost a lot?,ghost,7
qjjv54,0,I don’t matter,matter,4
qjjmut,1,must live outside to be free and happy.,live,9
qjb5q4,0,I get irrationally annoyed at people who are always late,annoy,10
qjan8c,1,How do you spend your Saturday evenings?,spend,8
qj9v4m,0,Do men take longer to get over a relationship?,take,10
qj68bl,0,Literally ran home to watch cartoon,run,6
qj5onz,0,I coached my last soccer game today,coach,7
qj59qe,1,"So, I find women attractive.",find,7
qj40h4,0,I need advice…I drunk texted,texte,7
qj330s,0,Why is this person always watching me?,watch,8
qj0sel,1,Should I take the hint?,take,6
qj0lo3,0,Maybe just want to listen to your experiences with Russians,want,10
qj0joe,0,So what are you guys doing for Halloween tomorrow?,do,10
qizw1m,1,anyone want to chat?,want,5
qiwix9,0,I’m getting better,get,4
qiu786,0,Is watching Scream alone in bed a good idea?,watch,10
qitzyl,0,I Hope We Meet Again,hope,5
qircs2,0,Anyone want to talk?,want,5
qir899,0,What’s your favorite poem?,’,6
qin9m4,1,Would love to talk about anything.,love,7
qijfqg,0,What to bring a wisdom tooth patient???,bring,10
qiijih,0,Why do people want kids?,want,6
qiifx9,0,Looking to connect with people with common interests,look,8
qifzbo,0,How to kindly deal with not understanding an accent?,deal,10
qifhtz,0,It’s the little things,’,5
qif82a,1,Change can change like the seasons to me.,change,9
qif2to,0,I get to start my dream job on Tuesday,get,9
qidptm,0,I miss playing video games until the sun came up,miss,10
qidc5e,0,Feeling constantly hesitant,feel,3
qid8ip,0,Stopping My Amazon Prime Account,stop,5
qicjn6,0,What do you like in a conversation?,like,8
qic1vd,1,What makes a sub a good one?,make,8
qia415,0,What exotic meats should I buy?,buy,7
qi88fg,1,You've put together alphabets to make words.,put,9
qi65p3,0,Making cookies…,make,3
qi2dnr,0,I miss this person,miss,4
qi2cii,1,Which would you trade for different ones?,trade,8
qi1y4h,0,Anyone else think ALF is due for a comeback?,think,10
qi1o7m,0,Tell me about yourself!,tell,5
qi13ui,1,Spending Halloween and my birthday alone this year.,spend,9
qi0erg,0,I'm getting a new job!,get,7
qi00m8,0,I accidentally planned an ice cream hangout,plan,7
qhzptr,0,Writing tips?,write,3
qhxu22,0,Overheard in the fish and chip shop,overhear,7
qhxts9,0,What do you remember about summer ?,remember,7
qhxdet,0,I deleted most of my social media today.,delete,9
qhvqql,0,Which do you choose…,choose,5
qhun21,0,I smelled myself today and it was not good,smell,9
qhu6t8,1,It really made me feel special.,make,7
qhu4g9,1,Are you going to help win the river race?,go,10
qhqz8y,0,We haven't had a microwave since October 6th.,have,10
qhqhq4,0,I met these really sweet girls.,meet,7
qhiav0,0,Got hired on the spot!,hire,6
qhi6zg,0,"Waiting at the ER right now, pretty bored.",wait,10
qhi5q0,0,Feeling Kinda Sad Sometimes,feel,4
qhd2bf,0,Left a situation,leave,3
qhcapp,0,Tell me about your favourite movie?,tell,7
qhc8th,0,Got a promotion!,got,4
qhc08y,0,I’m so sick of telling myself “tomorrow”,be,10
qhbuy3,0,I would pay to improve my awful memory.,pay,9
qhala7,0,I just noticed why I eat vegetables more.,notice,9
qhagz5,1,I hope we both can go next year!,hope,9
qha9lx,0,Am I growing apart from my friends ?,grow,8
qh8m8p,0,I legally changed my name today!!,change,8
qh872d,1,The world feels pleasantly smaller now.,feel,7
qh7rln,0,Let's play a game.,let,6
qh7jou,0,16f - let’s create the perfect partner or friend,let,10
